Level,ExpCost,GoldCost,IsBreakthrough,BreakthroughEssenceCost,StatMultiplier
1,0,0,FALSE,,1.0
2,100,500,FALSE,,1.05
3,107,533,FALSE,,1.1
4,113,567,FALSE,,1.1
5,121,604,FALSE,,1.1
6,129,643,FALSE,,1.2
7,137,685,FALSE,,1.2
8,146,730,FALSE,,1.2
9,155,777,FALSE,,1.3
10,165,827,FALSE,,1.3
11,176,881,FALSE,,1.3
12,188,939,FALSE,,1.4
13,200,1000,FALSE,,1.4
14,213,1065,FALSE,,1.5
15,227,1134,FALSE,,1.5
16,241,1207,FALSE,,1.6
17,257,1286,FALSE,,1.6
18,274,137,FALSE,,1.7
19,292,1459,FALSE,,1.7
20,0,1553,TRUE,170,2.0
21,331,1654,FALSE,,2.1
22,352,1762,FALSE,,2.2
23,375,1876,FALSE,,2.2
24,400,1998,FALSE,,2.3
25,426,2128,FALSE,,2.4
26,453,2267,FALSE,,2.4
27,483,2414,FALSE,,2.5
28,514,2571,FALSE,,2.6
29,548,2738,FALSE,,2.7
30,583,2916,FALSE,,2.7
31,621,3105,FALSE,,2.8
32,661,3307,FALSE,,2.9
33,704,3522,FALSE,,3.0
34,750,3751,FALSE,,3.1
35,799,3995,FALSE,,3.2
36,851,4255,FALSE,,3.3
37,906,4531,FALSE,,3.4
38,965,4826,FALSE,,3.5
39,1028,5139,FALSE,,3.6
40,0,5473,TRUE,280,4.3
41,1166,5829,FALSE,,4.4
42,1242,6208,FALSE,,4.6
43,1322,6612,FALSE,,4.7
44,1408,7041,FALSE,,4.8
45,1500,7499,FALSE,,5.0
46,1597,7986,FALSE,,5.1
47,1701,8506,FALSE,,5.3
48,1812,9058,FALSE,,5.4
49,1929,9647,FALSE,,5.6
50,2055,10274,FALSE,,5.8
51,2188,10942,FALSE,,6.0
52,2331,11653,FALSE,,6.1
53,2482,12411,FALSE,,6.3
54,2644,13218,FALSE,,6.5
55,2815,14077,FALSE,,6.7
56,2998,14992,FALSE,,6.9
57,3193,15966,FALSE,,7.1
58,3401,17004,FALSE,,7.3
59,3622,18109,FALSE,,7.5
60,0,19286,TRUE,1100,9.0
61,4108,20540,FALSE,,9.3
62,4375,21875,FALSE,,9.6
63,4659,23297,FALSE,,9.9
64,4962,24811,FALSE,,10.2
65,5285,26424,FALSE,,10.5
66,5628,28141,FALSE,,10.8
67,5994,29971,FALSE,,11.1
68,6384,31919,FALSE,,11.5
69,6799,33993,FALSE,,11.8
70,7241,36203,FALSE,,12.2
71,7711,38556,FALSE,,12.5
72,8212,41062,FALSE,,12.9
73,8746,43731,FALSE,,13.3
74,9315,46574,FALSE,,13.7
75,9920,49601,FALSE,,14.1
76,10565,52825,FALSE,,14.5
77,11252,56259,FALSE,,15.0
78,11983,59916,FALSE,,15.4
79,12762,6381,FALSE,,15.9
80,0,67958,TRUE,4000,19.0
81,14475,72375,FALSE,,19.6
82,15416,77079,FALSE,,20.2
83,16418,8209,FALSE,,20.8
84,17485,87425,FALSE,,21.4
85,18622,93108,FALSE,,22.1
86,19832,99160,FALSE,,22.7
87,21121,105606,FALSE,,23.4
88,22494,112470,FALSE,,24.1
89,23956,119780,FALSE,,24.8
90,25513,127566,FALSE,,25.6
91,27172,135858,FALSE,,26.3
92,28938,144689,FALSE,,27.1
93,30819,154093,FALSE,,28.0
94,32822,164110,FALSE,,28.8
95,34955,174777,FALSE,,29.7
96,37227,186137,FALSE,,30.5
97,39647,198236,FALSE,,31.5
98,42224,211121,FALSE,,32.4
99,44969,224844,FALSE,,33.4
100,0,239459,TRUE,10000,40.1
101,51005,255024,FALSE,,41.3
102,54320,271601,FALSE,,42.5
103,57851,289255,FALSE,,43.8
104,61611,308056,FALSE,,45.1
105,65616,32808,FALSE,,46.4
106,69881,349405,FALSE,,47.8
107,74423,372116,FALSE,,49.3
108,79261,396304,FALSE,,50.7
109,84413,422064,FALSE,,52.3
110,89900,449498,FALSE,,53.8
111,95743,478715,FALSE,,55.4
112,101966,509832,FALSE,,57.1
113,108594,542971,FALSE,,58.8
114,115653,578264,FALSE,,60.6
115,123170,615851,FALSE,,62.4
116,131176,655881,FALSE,,64.3
117,139703,698514,FALSE,,66.2
118,148783,743917,FALSE,,68.2
119,158454,792272,FALSE,,70.2
120,0,843769,TRUE,24000,84.3
121,179723,898614,FALSE,,86.8
122,191405,957024,FALSE,,89.4
123,203846,1019231,FALSE,,92.1
124,217096,1085481,FALSE,,94.9
125,231207,1156037,FALSE,,97.7
126,246236,1231179,FALSE,,100.6
127,262241,1311206,FALSE,,103.6
128,279287,1396435,FALSE,,106.8
129,297441,1487203,FALSE,,110.0
130,316774,1583871,FALSE,,113.3
131,337365,1686823,FALSE,,116.7
132,359293,1796466,FALSE,,120.2
133,382647,1913236,FALSE,,123.8
134,407519,2037597,FALSE,,127.5
135,434008,2170040,FALSE,,131.3
136,462219,2311093,FALSE,,135.2
137,492263,2461314,FALSE,,139.3
138,524260,2621300,FALSE,,143.5
139,558337,2791684,FALSE,,147.8
140,0,2973144,TRUE,58000,177.3
141,63328,3166398,FALSE,,182.6
142,674443,3372214,FALSE,,188.1
143,718282,3591408,FALSE,,193.8
144,764970,3824849,FALSE,,199.6
145,814693,4073464,FALSE,,205.6
146,867648,4338239,FALSE,,211.7
147,924045,4620225,FALSE,,218.1
148,984108,4920540,FALSE,,224.6
149,1048075,5240375,FALSE,,231.4
150,1116200,5580999,FALSE,,238.3
151,1188753,5943764,FALSE,,245.5
152,1266022,6330109,FALSE,,252.8
153,1348313,6741566,FALSE,,260.4
154,1435954,7179768,FALSE,,268.2
155,1529290,7646452,FALSE,,276.3
156,1628694,8143472,FALSE,,284.6
157,1734560,8672798,FALSE,,293.1
158,1847306,9236529,FALSE,,301.9
159,1967381,9836904,FALSE,,310.9
160,0,10476303,TRUE,160000,373.1
161,1000000,11157262,FALSE,,384.3
162,1000000,11882484,FALSE,,395.9
163,1000000,12654846,FALSE,,407.7
164,1000000,13477411,FALSE,,420.0
165,1000000,14353442,FALSE,,432.6
166,1000000,15286416,FALSE,,445.5
167,1000000,16280033,FALSE,,458.9
168,1000000,17338235,FALSE,,472.7
169,1000000,18465221,FALSE,,486.9
170,1000000,19665460,FALSE,,501.5
171,1000000,20943715,FALSE,,516.5
172,1000000,22305056,FALSE,,532.0
173,1000000,23754885,FALSE,,548.0
174,1000000,25298953,FALSE,,564.4
175,1000000,26943385,FALSE,,581.3
176,1000000,28694705,FALSE,,598.8
177,1000000,30559860,FALSE,,616.7
178,1000000,32546251,FALSE,,635.2
179,1000000,34661758,FALSE,,654.3
180,0,36914772,TRUE,160000,785.2
181,1000000,39314232,FALSE,,808.7
182,1000000,41869657,FALSE,,833.0
183,1000000,44591185,FALSE,,858.0
184,1000000,47489612,FALSE,,883.7
185,1000000,50576437,FALSE,,910.2
186,1000000,53863905,FALSE,,937.5
187,1000000,57365059,FALSE,,965.7
188,1000000,61093788,FALSE,,994.6
189,1000000,65064884,FALSE,,1024.5
190,1000000,69294101,FALSE,,1055.2
191,1000000,73798218,FALSE,,1086.8
192,1000000,78595102,FALSE,,1119.5
193,1000000,83703784,FALSE,,1153.0
194,1000000,89144529,FALSE,,1187.6
195,1000000,94938924,FALSE,,1223.3
196,1000000,101109954,FALSE,,1260.0
197,1000000,107682101,FALSE,,1297.8
198,1000000,114681438,FALSE,,1336.7
199,1000000,122135731,FALSE,,1376.8
200,0,130074553,TRUE,160000,1652.1
201,1000000,50000000,FALSE,,1701.7
202,1000000,50000000,FALSE,,1752.8
203,1000000,50000000,FALSE,,1805.3
204,1000000,50000000,FALSE,,1859.5
205,1000000,50000000,FALSE,,1915.3
206,1000000,50000000,FALSE,,1972.7
207,1000000,50000000,FALSE,,2031.9
208,1000000,50000000,FALSE,,2092.9
209,1000000,50000000,FALSE,,2155.7
210,1000000,50000000,FALSE,,2220.3
211,1000000,50000000,FALSE,,2287.0
212,1000000,50000000,FALSE,,2355.6
213,1000000,50000000,FALSE,,2426.2
214,1000000,50000000,FALSE,,2499.0
215,1000000,50000000,FALSE,,2574.0
216,1000000,50000000,FALSE,,2651.2
217,1000000,50000000,FALSE,,2730.7
218,1000000,50000000,FALSE,,2812.7
219,1000000,50000000,FALSE,,2897.0
220,0,50000000,TRUE,125000,3476.5
221,1000000,50000000,FALSE,,3580.7
222,1000000,50000000,FALSE,,3688.2
223,1000000,50000000,FALSE,,3798.8
224,1000000,50000000,FALSE,,3912.8
225,1000000,50000000,FALSE,,4030.2
226,1000000,50000000,FALSE,,4151.1
227,1000000,50000000,FALSE,,4275.6
228,1000000,50000000,FALSE,,4403.9
229,1000000,50000000,FALSE,,4536.0
230,1000000,50000000,FALSE,,4672.1
231,1000000,50000000,FALSE,,4812.2
232,1000000,50000000,FALSE,,4956.6
233,1000000,50000000,FALSE,,5105.3
234,1000000,50000000,FALSE,,5258.4
235,1000000,50000000,FALSE,,5416.2
236,1000000,50000000,FALSE,,5578.7
237,1000000,50000000,FALSE,,5746.0
238,1000000,50000000,FALSE,,5918.4
239,1000000,50000000,FALSE,,6096.0
240,0,50000000,TRUE,125000,7315.2
